Species,Accession Number,ID
Arctocephalus forsteri,AF111043.1,ArFo-NFS1
Arctocephalus forsteri,AF111044.1,ArFo-NFS3
Arctocephalus forsteri,AF111045.1,ArFo-NFS4
Arctocephalus gazella,AF111041.1,ArGa-AFS3
Arctocephalus gazella,AF111042.1,ArGa-AFS4
Canis familiaris,AF016904.1,CaFa-DQB1*01101
Halichoerus grypus,HQ456122.1,Hagr-DQB*01
Halichoerus grypus,HQ456123.1,Hagr-DQB*02
Halichoerus grypus,HQ456124.1,Hagr-DQB*03
Halichoerus grypus,HQ456125.1,Hagr-DQB*04
Halichoerus grypus,HQ456126.1,Hagr-DQB*05
Mirounga angustirostris,AF111030.1,MiAn-NES1
Mirounga angustirostris,AF111031.1,MiAn-NES2
Mirounga leonina,AF111032.1,MiLe-SES1
Mirounga leonina,AF111033.1,MiLe-SES3
Mirounga leonina,AF111034.1,MiLe-SES4
Mirounga leonina,AF111035.1,MiLe-SES5
Mirounga leonina,AF111036.1,MiLe-SES6
Mirounga leonina,AF111037.1,MiLe-SES7
Mirounga leonina,AF111038.1,MiLe-SES8
Neophoca cinerea,KP127612.1,NeCi-DQB*01
Neophoca cinerea,KP127613.1,NeCi-DQB*02
Neophoca cinerea,KP127614.1,NeCi-DQB*03
Odobenus rosmarus,KJ004394.1,OdRo-DQB*01
Odobenus rosmarus,KJ004395.1,OdRo-DQB*02
Odobenus rosmarus,KJ004396.1,OdRo-DQB*03
Odobenus rosmarus,KJ004397.1,OdRo-DQB*04
Odobenus rosmarus,KJ004398.1,OdRo-DQB*05
Phocarctos hookeri,AY204352.1,PhHo-DQB*0101
Phocarctos hookeri,AY204353.1,PhHo-DQB*0102
Zalophus californianus,AF503397.1,ZaCa-DQB*01
Zalophus californianus,AF503398.1,ZaCa-DQB*02
Zalophus californianus,AF503399.1,ZaCa-DQB*03
Zalophus californianus,AF503400.1,ZaCa-DQB*04
Zalophus californianus,AF503401.1,ZaCa-DQB*05
Zalophus wollebaeki,HE663126.1,ZaWo-DQB*01
Zalophus wollebaeki,HE663127.1,ZaWo-DQB*02
Zalophus wollebaeki,HE663128.1,ZaWo-DQB*03
