Species,Accession Number,ID
Arctocephalus galapagoensis,HE663129.1,ArGal-DRB*FM6_FS_K4
Arctocephalus galapagoensis,HE663130.1,ArGal-DRB*FM_FS_K3
Arctocephalus galapagoensis,HE663131.1,ArGal-DRB*FM_FS_K4
Canis lupus familiaris,U44777.1,CaFa-DRB1*D2A
Neophoca cinerea,KP127615.1,NeciDRB*01
Neophoca cinerea,KP127616.1,NeciDRB*02
Neophoca cinerea,KP127617.1,NeciDRB*03
Neophoca cinerea,KP127618.1,NeciDRB*04
Neophoca cinerea,KP127619.1,NeciDRB*05
Neophoca cinerea,KP127620.1,NeciDRB*06
Neophoca cinerea,KP127621.1,NeciDRB*07
Neophoca cinerea,KP127622.1,NeciDRB*08
Neophoca cinerea,KP127623.1,NeciDRB*09
Neophoca cinerea,KP127624.1,NeciDRB*10
Phocarctos hookeri,DQ354689.1,PhHo-DRB*0402
Phocarctos hookeri,KC544970.1,PhHo-DRB*1
Phocarctos hookeri,KC544971.1,PhHo-DRB*2
Phocarctos hookeri,KC544972.1,PhHo-DRB*3
Phocarctos hookeri,KC544973.1,PhHo-DRB*4
Phocarctos hookeri,KC544974.1,PhHo-DRB*5
Phocarctos hookeri,KC544975.1,PhHo-DRB*6
Phocarctos hookeri,KC544976.1,PhHo-DRB*7
Phocarctos hookeri,KC544977.1,PhHo-DRB*8
Phocarctos hookeri,KC544978.1,PhHo-DRB*9
Phocarctos hookeri,KC544979.1,PhHo-DRB*10
Phocarctos hookeri,KC544980.1,PhHo-DRB*11
Phocarctos hookeri,KC544981.1,PhHo-DRB*12
Phocarctos hookeri,KC544982.1,PhHo-DRB*13
Phocarctos hookeri,KC544983.1,PhHo-DRB*14
Phocarctos hookeri,KC544984.1,PhHo-DRB*15
Phocarctos hookeri,KC544985.1,PhHo-DRB*16
Phocarctos hookeri,KC544986.1,PhHo-DRB*17
Phocarctos hookeri,KC544987.1,PhHo-DRB*18
Phocarctos hookeri,KC544988.1,PhHo-DRB*19
Phocarctos hookeri,KC544989.1,PhHo-DRB*20
Phocarctos hookeri,KC544990.1,PhHo-DRB*21
Phocarctos hookeri,KC544991.1,PhHo-DRB*22
Phocarctos hookeri,KC544992.1,PhHo-DRB*23
Phocarctos hookeri,KC544993.1,PhHo-DRB*24
Phocarctos hookeri,KC544994.1,PhHo-DRB*25
Phocarctos hookeri,KC544995.1,PhHo-DRB*26
Phocarctos hookeri,KC544996.1,PhHo-DRB*27
Phocarctos hookeri,KC544997.1,PhHo-DRB*28
Phocarctos hookeri,KP793159.1,PhHo-DRB*29
Phocarctos hookeri,KP793160.1,PhHo-DRB*30
Phocarctos hookeri,KP793161.1,PhHo-DRB*31
Phocarctos hookeri,KP793162.1,PhHo-DRB*32
Phocarctos hookeri,KP793163.1,PhHo-DRB*33
Phocarctos hookeri,KP793164.1,PhHo-DRB*34
Phocarctos hookeri,KP793165.1,PhHo-DRB*35
Phocarctos hookeri,KP793166.1,PhHo-DRB*36
Zalophus californianus,AY491456.1,ZaCa-DRB*1
Zalophus californianus,AY491457.1,ZaCa-DRB*2
Zalophus californianus,AY491458.1,ZaCa-DRB*3
Zalophus californianus,AY491459.1,ZaCa-DRB*4
Zalophus californianus,AY491460.1,ZaCa-DRB*5
Zalophus californianus,AY491461.1,ZaCa-DRB*6
Zalophus wollebaeki,HE663098.1,Zawo-DRB*01
Zalophus wollebaeki,HE663099.1,Zawo-DRB*02
Zalophus wollebaeki,HE663100.1,Zawo-DRB*03
Zalophus wollebaeki,HE663101.1,Zawo-DRB*04
Zalophus wollebaeki,HE663102.1,Zawo-DRB*05
Zalophus wollebaeki,HE663103.1,Zawo-DRB*06
Zalophus wollebaeki,HE663104.1,Zawo-DRB*07
Zalophus wollebaeki,HE663105.1,Zawo-DRB*08
Zalophus wollebaeki,HE663106.1,Zawo-DRB*09
Zalophus wollebaeki,HE663107.1,Zawo-DRB*10
Zalophus wollebaeki,HE663108.1,Zawo-DRB*11
Zalophus wollebaeki,HE663109.1,Zawo-DRB*12
Zalophus wollebaeki,HE663110.1,Zawo-DRB*13
Zalophus wollebaeki,HE663111.1,Zawo-DRB*14
Zalophus wollebaeki,HE663112.1,Zawo-DRB*15
Zalophus wollebaeki,HE663113.1,Zawo-DRB*17
Zalophus wollebaeki,HE663114.1,Zawo-DRB*16
Zalophus wollebaeki,HE663115.1,Zawo-DRB*18
Zalophus wollebaeki,HE663116.1,Zawo-DRB*19
Zalophus wollebaeki,HE663117.1,Zawo-DRB*20
Zalophus wollebaeki,HE663118.1,Zawo-DRB*21
Zalophus wollebaeki,HE663119.1,Zawo-DRB*22
Zalophus wollebaeki,HE663120.1,Zawo-DRB*23
Zalophus wollebaeki,HE663121.1,Zawo-DRB*24
Zalophus wollebaeki,HE663122.1,Zawo-DRB*25
Zalophus wollebaeki,HE663123.1,Zawo-DRB*26
Zalophus wollebaeki,HE663124.1,Zawo-DRB*27
