sample	position	index_L	index_R	age	pair_id	Lpri	Rpri	Group
AGP11051	A2	N702	S501	P	15	drb_f	drb_r	mhc_drb
AGP11026	A3	N703	S501	P	4	drb_f	drb_r	mhc_drb
W8914M	A4	N704	S501	M	7	drb_f	drb_r	mhc_drb
AGF11011	B1	N701	S502	M	28	drb_f	drb_r	mhc_drb
AGF11015	B2	N702	S502	M	40	drb_f	drb_r	mhc_drb
AGF11008	B3	N703	S502	M	19	drb_f	drb_r	mhc_drb
W8927M	C3	N703	S503	M	23	drb_f	drb_r	mhc_drb
W8918M	D10	N710	S504	M	12	drb_f	drb_r	mhc_drb
W8928P	D11	N711	S504	P	24	drb_f	drb_r	mhc_drb
AGF11016	E2	N702	S505	M	41	drb_f	drb_r	mhc_drb
W8931P	G10	N710	S507	P	31	drb_f	drb_r	mhc_drb
AGP11022	H1	N701	S508	P	3	drb_f	drb_r	mhc_drb
AGF11021	A5	N705	S501	M	46	drb_f	drb_r	mhc_drb
AGP11211	C2	N702	S503	P	47	drb_f	drb_r	mhc_drb
W8937P	D9	N709	S504	P	38	drb_f	drb_r	mhc_drb
W8913P	F2	N702	S506	P	6	drb_f	drb_r	mhc_drb
W8915pup	A1	N701	S501	P	8	drb_f	drb_r	mhc_drb
AGP11185	A6	N706	S501	P	46	drb_f	drb_r	mhc_drb
W8552/W8258mum	A7	N707	S501	M	25	drb_f	drb_r	mhc_drb
AGF11009	A9	N709	S501	M	26	drb_f	drb_r	mhc_drb
W8924mum	A10	N710	S501	M	20	drb_f	drb_r	mhc_drb
W8925mum	A11	N711	S501	M	21	drb_f	drb_r	mhc_drb
AGF11023	B4	N704	S502	M	48	drb_f	drb_r	mhc_drb
W8935pup	B5	N705	S502	P	35	drb_f	drb_r	mhc_drb
W8922mum	B6	N706	S502	M	17	drb_f	drb_r	mhc_drb
AGF11005	B7	N707	S502	M	5	drb_f	drb_r	mhc_drb
W8923mum	B9	N709	S502	M	18	drb_f	drb_r	mhc_drb
AGP11144	B10	N710	S502	P	40	drb_f	drb_r	mhc_drb
W8923pup	B11	N711	S502	P	18	drb_f	drb_r	mhc_drb
W8921mum	C1	N701	S503	M	16	drb_f	drb_r	mhc_drb
AGF11002	C4	N704	S503	M	2	drb_f	drb_r	mhc_drb
AGF11003	C5	N705	S503	M	3	drb_f	drb_r	mhc_drb
AGP11079	C6	N706	S503	P	29	drb_f	drb_r	mhc_drb
W8936mum	C7	N707	S503	M	36	drb_f	drb_r	mhc_drb
W8930mum	C9	N709	S503	M	30	drb_f	drb_r	mhc_drb
W8939mum	C10	N710	S503	M	39	drb_f	drb_r	mhc_drb
W8914mum	C11	N711	S503	M	7	drb_f	drb_r	mhc_drb
W8937mum	D1	N701	S504	M	38	drb_f	drb_r	mhc_drb
AGF11014	D3	N703	S504	M	37	drb_f	drb_r	mhc_drb
W8922pup	D4	N704	S504	P	17	drb_f	drb_r	mhc_drb
AGP11014	D5	N705	S504	P	2	drb_f	drb_r	mhc_drb
W8936pup	D6	N706	S504	P	36	drb_f	drb_r	mhc_drb
AGF11018	E3	N703	S505	M	43	drb_f	drb_r	mhc_drb
W8921pup	E4	N704	S505	P	16	drb_f	drb_r	mhc_drb
AGP11125	E5	N705	S505	P	37	drb_f	drb_r	mhc_drb
AGF11022	E6	N706	S505	M	47	drb_f	drb_r	mhc_drb
W8920pup	E9	N709	S505	P	14	drb_f	drb_r	mhc_drb
AGF11019	E10	N710	S505	M	44	drb_f	drb_r	mhc_drb
W8933pup	E11	N711	S505	P	33	drb_f	drb_r	mhc_drb
W8935mum	F1	N701	S506	M	35	drb_f	drb_r	mhc_drb
AGF11006	F3	N703	S506	M	9	drb_f	drb_r	mhc_drb
AGF11012	F4	N704	S506	M	29	drb_f	drb_r	mhc_drb
AGP11145	F6	N706	S506	P	41	drb_f	drb_r	mhc_drb
AGP11065	F7	N707	S506	P	27	drb_f	drb_r	mhc_drb
W8920mum	F9	N709	S506	M	14	drb_f	drb_r	mhc_drb
W8933mum	F10	N710	S506	M	33	drb_f	drb_r	mhc_drb
W8935mum	F11	N711	S506	M	35	drb_f	drb_r	mhc_drb
W8918pup	G1	N701	S507	P	12	drb_f	drb_r	mhc_drb
W8915mum	G2	N702	S507	M	8	drb_f	drb_r	mhc_drb
W8916pup	G3	N703	S507	P	10	drb_f	drb_r	mhc_drb
W8933pup	G4	N704	S507	P	33	drb_f	drb_r	mhc_drb
W8916mum	G5	N705	S507	M	10	drb_f	drb_r	mhc_drb
W8930pup	G6	N706	S507	P	30	drb_f	drb_r	mhc_drb
AGF11010	G7	N707	S507	M	27	drb_f	drb_r	mhc_drb
W8915pup	G11	N711	S507	P	8	drb_f	drb_r	mhc_drb
W8913mum	H2	N702	S508	M	6	drb_f	drb_r	mhc_drb
W8924pup	H6	N706	S508	P	20	drb_f	drb_r	mhc_drb
W8927pup	H7	N707	S508	P	23	drb_f	drb_r	mhc_drb
