Title: fasta file
Description
  Analysis 
    Analysis ---------------------------- Distance Estimation
    Scope ------------------------------- Pairs of taxa
  Estimate Variance
    Variance Estimation Method ---------- None
  Substitution Model
    Substitutions Type ------------------ Amino acid
    Genetic Code Table ------------------ Standard
    Model/Method ------------------------ p-distance
    Substitutions to Include ------------ All
  Rates and Patterns
    Rates among Sites ------------------- Uniform rates
    Pattern among Lineages -------------- Same (Homogeneous)
  Data Subset to Use
    Gaps/Missing Data Treatment --------- Pairwise deletion
  Codons Included ----------------------- 1st+2nd+3rd
  No. of Sites : 47
  d : Estimate

Species_1;Species_2;Distance   
ArGa-DQB*1;ArGa-DQB*2;0.085
ArGa-DQB*1;ArGa-DQB*3;0.000
ArGa-DQB*2;ArGa-DQB*3;0.085
ArGa-DQB*1;ArGa-DQB*4;0.064
ArGa-DQB*2;ArGa-DQB*4;0.043
ArGa-DQB*3;ArGa-DQB*4;0.064
ArGa-DQB*1;ArGa-DQB*5;0.064
ArGa-DQB*2;ArGa-DQB*5;0.043
ArGa-DQB*3;ArGa-DQB*5;0.064
ArGa-DQB*4;ArGa-DQB*5;0.043
ArGa-DQB*1;ArGa-DQB*6;0.085
ArGa-DQB*2;ArGa-DQB*6;0.064
ArGa-DQB*3;ArGa-DQB*6;0.085
ArGa-DQB*4;ArGa-DQB*6;0.064
ArGa-DQB*5;ArGa-DQB*6;0.043
ArGa-DQB*1;ArGa-DQB*7;0.149
ArGa-DQB*2;ArGa-DQB*7;0.085
ArGa-DQB*3;ArGa-DQB*7;0.149
ArGa-DQB*4;ArGa-DQB*7;0.106
ArGa-DQB*5;ArGa-DQB*7;0.106
ArGa-DQB*6;ArGa-DQB*7;0.064
ArGa-DQB*1;ArGa-DQB*8;0.021
ArGa-DQB*2;ArGa-DQB*8;0.085
ArGa-DQB*3;ArGa-DQB*8;0.021
ArGa-DQB*4;ArGa-DQB*8;0.085
ArGa-DQB*5;ArGa-DQB*8;0.043
ArGa-DQB*6;ArGa-DQB*8;0.085
ArGa-DQB*7;ArGa-DQB*8;0.149
ArGa-DQB*1;ArGa-DQB*9;0.085
ArGa-DQB*2;ArGa-DQB*9;0.021
ArGa-DQB*3;ArGa-DQB*9;0.085
ArGa-DQB*4;ArGa-DQB*9;0.043
ArGa-DQB*5;ArGa-DQB*9;0.021
ArGa-DQB*6;ArGa-DQB*9;0.064
ArGa-DQB*7;ArGa-DQB*9;0.085
ArGa-DQB*8;ArGa-DQB*9;0.064
ArGa-DQB*1;ArGa-DQB*10;0.021
ArGa-DQB*2;ArGa-DQB*10;0.064
ArGa-DQB*3;ArGa-DQB*10;0.021
ArGa-DQB*4;ArGa-DQB*10;0.043
ArGa-DQB*5;ArGa-DQB*10;0.043
ArGa-DQB*6;ArGa-DQB*10;0.064
ArGa-DQB*7;ArGa-DQB*10;0.128
ArGa-DQB*8;ArGa-DQB*10;0.043
ArGa-DQB*9;ArGa-DQB*10;0.064
ArGa-DQB*1;ArGa-DQB*11;0.043
ArGa-DQB*2;ArGa-DQB*11;0.043
ArGa-DQB*3;ArGa-DQB*11;0.043
ArGa-DQB*4;ArGa-DQB*11;0.021
ArGa-DQB*5;ArGa-DQB*11;0.021
ArGa-DQB*6;ArGa-DQB*11;0.043
ArGa-DQB*7;ArGa-DQB*11;0.106
ArGa-DQB*8;ArGa-DQB*11;0.064
ArGa-DQB*9;ArGa-DQB*11;0.043
ArGa-DQB*10;ArGa-DQB*11;0.021
ArGa-DQB*1;ArGa-DQB*12;0.064
ArGa-DQB*2;ArGa-DQB*12;0.043
ArGa-DQB*3;ArGa-DQB*12;0.064
ArGa-DQB*4;ArGa-DQB*12;0.043
ArGa-DQB*5;ArGa-DQB*12;0.000
ArGa-DQB*6;ArGa-DQB*12;0.043
ArGa-DQB*7;ArGa-DQB*12;0.106
ArGa-DQB*8;ArGa-DQB*12;0.043
ArGa-DQB*9;ArGa-DQB*12;0.021
ArGa-DQB*10;ArGa-DQB*12;0.043
ArGa-DQB*11;ArGa-DQB*12;0.021
ArGa-DQB*1;ArGa-DQB*13;0.085
ArGa-DQB*2;ArGa-DQB*13;0.043
ArGa-DQB*3;ArGa-DQB*13;0.085
ArGa-DQB*4;ArGa-DQB*13;0.021
ArGa-DQB*5;ArGa-DQB*13;0.021
ArGa-DQB*6;ArGa-DQB*13;0.064
