"Query" "Allele" "Similarity" "Length" "Mismatches" "Gaps"
"kidney.198379" "ArGa-DRB***25" 95.5 200 8 1
"kidney.198379" "ArGa-DRB*4" 95 200 9 1
"kidney.198379" "ArGa-DRB***24" 94 200 11 1
"kidney.198379" "ArGa-DRB**13" 94 200 11 1
"lung.36765" "ArGa-DRB***27" 94.03 201 9 3
"lung.36765" "ArGa-DRB***30" 94.03 201 9 3
"lung.44889" "ArGa-DRB***19" 95 200 9 1
"lung.44889" "ArGa-DRB***14" 94.5 200 10 1
"lung.44889" "ArGa-DRB***24" 94.5 200 10 1
"lung.44889" "ArGa-DRB***16" 94.5 200 10 1
"lung.44889" "ArGa-DRB**9" 94.5 200 10 1
"lung.44889" "ArGa-DRB**12" 94.5 200 10 1
"lung.44889" "ArGa-DRB*3" 94.5 200 10 1
"lung.44889" "ArGa-DRB***10" 94 200 11 1
"lung.44889" "ArGa-DRB***20" 94 200 11 1
"lung.44889" "ArGa-DRB*6" 94 200 11 1
"spleen.58433" "ArGa-DRB***19" 94.5 200 10 1
"spleen.58433" "ArGa-DRB***14" 94 200 11 1
"spleen.58433" "ArGa-DRB***24" 94 200 11 1
"spleen.58433" "ArGa-DRB***16" 94 200 11 1
"spleen.58433" "ArGa-DRB**9" 94 200 11 1
"spleen.58433" "ArGa-DRB**12" 94 200 11 1
"spleen.58433" "ArGa-DRB*3" 94 200 11 1
"spleen.176498" "ArGa-DRB***10" 94.5 200 10 1
"spleen.176498" "ArGa-DRB*6" 94 200 11 1
"spleen.176498" "ArGa-DRB**9" 94 200 11 1
"spleen.176498" "ArGa-DRB**12" 94 200 11 1
"spleen.178374" "ArGa-DRB***19" 95 200 9 1
"spleen.178374" "ArGa-DRB***14" 94.5 200 10 1
"spleen.178374" "ArGa-DRB***24" 94.5 200 10 1
"spleen.178374" "ArGa-DRB***16" 94.5 200 10 1
"spleen.178374" "ArGa-DRB**9" 94.5 200 10 1
"spleen.178374" "ArGa-DRB**12" 94.5 200 10 1
"spleen.178374" "ArGa-DRB*3" 94.5 200 10 1
"spleen.178374" "ArGa-DRB***10" 94 200 11 1
"spleen.178374" "ArGa-DRB***20" 94 200 11 1
"spleen.178374" "ArGa-DRB*6" 94 200 11 1
"spleen.221858" "ArGa-DRB***25" 94.5 200 10 1
"spleen.221858" "ArGa-DRB***31" 94 200 11 1
"spleen.221858" "ArGa-DRB*4" 94 200 11 1
